fluid_name,rho_kg_m3,mu_Pa_s,D_mol_m2_s,surface_tension_N_m,notes,Cp_J_per_kgK,k_W_per_mK,hsp_d,hsp_p,hsp_h
60% Acetic Acid / 40% Water,1028.83,0.00103691,1.6878622836024121e-09,0.04452,"Blend at 25 °C: Acetic Acid 60vol%, Water 40vol%",,,,,
45% Water / 55% Acetone (30 °C),890.37,0.00055555,2.5760160993889062e-09,0.04782,"Blend at 30 °C: Water 45vol%, Acetone 55vol%",,,,,
0.6 M Sodium Hydroxide,1022.0,0.00095,2.3e-09,0.067,Estimated parameters,4182.0,0.607,0.0,0.0,0.0
TAK-360 Step 6 Crystallization GMP4 Final Mass,983.29,0.00086687,2.2118596208148447e-09,0.06115,"Blend at 25 °C: Water 53wt%, Acetic Acid 10wt%, Acetonitrile 12wt%, 0.6 M Sodium Hydroxide 25wt%",3736.3,0.5122,,,
TAK-360 Step 6 Crystallization GMP4-2 Final (50 °C),974.79,0.00064409,3.312935652619759e-09,0.05863,"Blend at 50 °C: 0.6 M Sodium Hydroxide 25wt%, Water 53wt%, Acetic Acid 10wt%, Acetonitrile 12wt%",3754.1,0.5286,,,
TAK-279 Step 4 RM (25 °C),876.34,0.00106291,1.518788074354256e-09,0.03986,"Blend at 25 °C: Water 29vol%, Ethanol 64vol%, 36% HCl (aq) 7vol%",3039.1,0.3165,,,
TAK-279 Step 4 RM (20 °C),879.63,0.00117602,1.349089542964731e-09,0.04039,"Blend at 20 °C: Water 29vol%, Ethanol 64vol%, 36% HCl (aq) 7vol%",3023.9,0.315,,,
TAK-279 Step 4 RM (20 °C) wt,864.5,0.00117209,1.3091955874172011e-09,0.03753,"Blend at 20 °C: 36% HCl (aq) 7wt%, Water 29wt%, Ethanol 64wt%",2948.3,0.2924,,,
TAK-279 Step 4 RM (45 °C) wt,846.35,0.00073262,2.273143431792341e-09,0.03478,"Blend at 45 °C: 36% HCl (aq) 7wt%, Water 29wt%, Ethanol 64wt%",3023.7,0.2963,,,
generic_solid_starting_material,1200.0,0.001,2.3e-09,0.072,as placeholder for soluble solids like reagents,4182.0,0.607,0.0,0.0,0.0
TAK360 Step 6 Final Reaction Mixture (pre-rinse; 25 °C),1066.25,0.00138744,1.6167369167497947e-09,0.06314,"Blend at 25 °C: generic_solid_starting_material 11wt%, Acetonitrile 26wt%, 6 M NaOH (aq) 64wt%",3309.3,0.4682,,,
TAK360 Step 6 Final Reaction Mixture (with rinse water; 25 °C),1057.73,0.00131779,1.6842153411781055e-09,0.06423,"Blend at 25 °C: TAK360 Step 4 Final Reaction Mixture (pre-rinse) 88wt%, Water 12wt%",3410.5,0.4853,,,
