owner,reactor,stir_speed_rpm,volume_fill_L,kLa_per_sec,density_kg_m3,N_per_sec,D_imp_m,Np_,power_W,mass_kg,P_per_m_W_kg
Nalas,EasyMax 102,100,0.065,0.0063,787,1.666666667,0.03,3.2,0.00028332,0.051155,0.005538462
Nalas,EasyMax 102,200,0.065,0.01,787,3.333333333,0.03,3.2,0.00226656,0.051155,0.044307692
Nalas,EasyMax 102,400,0.065,0.023,787,6.666666667,0.03,3.2,0.01813248,0.051155,0.354461538
Nalas,EasyMax 102,500,0.065,0.024,787,8.333333333,0.03,3.2,0.035415,0.051155,0.692307692
Nalas,EasyMax 102,600,0.065,0.057,787,10,0.03,3.2,0.06119712,0.051155,1.196307692
Nalas,EasyMax 102,700,0.065,0.14,787,11.66666667,0.03,3.2,0.09717876,0.051155,1.899692308
Nalas,EasyMax 102,1000,0.065,0.34,787,16.66666667,0.03,3.2,0.28332,0.051155,5.538461538
Nalas,EasyMax 102,400,0.1,0.0065,787,6.666666667,0.03,3.2,0.01813248,0.0787,0.2304
Nalas,EasyMax 102,500,0.1,0.0072,787,8.333333333,0.03,3.2,0.035415,0.0787,0.45
Nalas,EasyMax 102,700,0.1,0.0093,787,11.66666667,0.03,3.2,0.09717876,0.0787,1.2348
Nalas,EasyMax 102,1000,0.1,0.014,787,16.66666667,0.03,3.2,0.28332,0.0787,3.6
Nalas,EasyMax 102,1000,0.1,0.02,787,16.66666667,0.03,3.2,0.28332,0.0787,3.6
Nalas,EasyMax 102,100,0.05,0.011,787,1.666666667,0.03,3.2,0.00028332,0.03935,0.0072
Nalas,EasyMax 102,100,0.065,0.0063,787,1.666666667,0.03,3.2,0.00028332,0.051155,0.005538462
Nalas,EasyMax 102,100,0.08,0.0051,787,1.666666667,0.03,3.2,0.00028332,0.06296,0.0045
