reaction_name,type,order,k_value,k_units,C0_mol_L,t_rxn_s,T_C,solvent,delta_H_kJ_mol,notes,reaction_scheme
Grignard addition,Nucleophilic addition,2,0.5,L/(mol·s),1.0,2.0,25,THF,-80.0,Typical Grignard – fast and exothermic. Ref: Ashby & Laemmle Chem. Rev. 1975 75:521; Smith & March Advanced Organic Chemistry 6th Ed. Wiley 2007,R-MgBr + R'C(=O)R'' → R'R''(R)C-OMgBr → R'R''(R)C-OH
Suzuki coupling,Cross-coupling,pseudo-1,0.005,1/s,0.1,139.0,80,DMF/H2O,-50.0,Pd-catalyzed; moderate rate at reflux. Ref: Miyaura & Suzuki Chem. Rev. 1995 95:2457; Amatore et al. Chem. Eur. J. 2011 17:2492,Ar-X + Ar'-B(OH)₂ —[Pd]→ Ar-Ar' + X-B(OH)₂
Amide bond formation (EDC),Coupling,2,0.02,L/(mol·s),0.2,250.0,25,DCM,-30.0,Standard peptide coupling. Ref: Valeur & Bradley Chem. Soc. Rev. 2009 38:606; El-Faham & Albericio Chem. Rev. 2011 111:6557,R-COOH + H₂N-R' —[EDC/HOBt]→ R-C(=O)-NH-R' + Urea
Buchwald–Hartwig amination,Cross-coupling,pseudo-1,0.002,1/s,0.05,347.0,100,Toluene,-45.0,Pd/ligand catalyzed C–N coupling. Ref: Surry & Buchwald Chem. Sci. 2011 2:27; Hartwig Acc. Chem. Res. 2008 41:1534,Ar-X + HN(R)R' —[Pd/Ligand/Base]→ Ar-N(R)R' + HX
Diazotization,Electrophilic,2,50.0,L/(mol·s),0.5,0.04,0,Water/HCl,-65.0,Very fast – highly mixing-sensitive. Ref: Zollinger Diazo Chemistry I VCH 1994; Ridd Quart. Rev. 1961 15:418,Ar-NH₂ + NaNO₂ + HCl → [Ar-N≡N]⁺ Cl⁻ + NaCl + H₂O
Nitration (aromatic),Electrophilic substitution,2,5.0,L/(mol·s),2.0,0.1,5,H2SO4/HNO3,-130.0,Fast exothermic – mixing-sensitive. Ref: Albright et al. Nitration ACS Symp. 1996; Hoggett et al. Nitration and Aromatic Reactivity Cambridge UP 1971,Ar-H + HNO₃ —[H₂SO₄]→ Ar-NO₂ + H₂O
Hydrogenation (Pd/C),Heterogeneous,pseudo-1,0.01,1/s,0.3,69.0,25,MeOH,-120.0,Gas–liquid–solid system. Ref: Nishimura Handbook of Heterogeneous Catalytic Hydrogenation Wiley 2001; Rylander Catalytic Hydrogenation Academic Press 1979,R₁C=CR₂ + H₂ —[Pd/C]→ R₁CH-CHR₂
Ester hydrolysis (base),Nucleophilic acyl sub.,2,0.1,L/(mol·s),0.5,20.0,25,Water/THF,-10.0,Moderate rate. Ref: Fogler Elements of Chemical Reaction Engineering 5th Ed. Pearson 2016; Atkins Physical Chemistry 10th Ed. OUP 2014,R-C(=O)-OR' + NaOH → R-COO⁻ Na⁺ + R'-OH
Curtius rearrangement,Rearrangement,1,0.001,1/s,0.2,693.0,80,Toluene,-60.0,Slow thermal rearrangement. Ref: Scriven & Turnbull Chem. Rev. 1988 88:297; Curtius J. Prakt. Chem. 1894 50:275,R-C(=O)-N₃ —[Δ]→ R-N=C=O + N₂ → R-NH₂ (+ CO₂)
Aldol condensation,Addition,2,0.3,L/(mol·s),0.8,4.2,−20,THF,-25.0,Low-temp enolate chemistry. Ref: Heathcock in Comprehensive Organic Synthesis Vol. 2 Pergamon 1991; Clayden et al. Organic Chemistry 2nd Ed. OUP 2012,R-CH₂-C(=O)-R' —[Base]→ R-CH=C(OH)-R' + R''-CHO → β-hydroxy ketone
