reactor_id,reactor_name,owner,tag,location,manufacturer,manufacturer_model,type,scale,D_tank_m,H_m,H_max_m,D_imp_m,impeller_type,Np,Nq,N_rpm_min,N_rpm_max,V_L_min,V_L_max,V_L,shell_material,lining,baffles,bottom_dish,top_dish,impeller_count,imp1_clearance_m,imp1_height_m,D_imp2_m,Np2,imp2_clearance_m,imp2_height_m,D_imp3_m,Np3,imp3_clearance_m,imp3_height_m,Zwietering_S,GMB_z,wall_thickness_mm,OD_m,knuckle_radius_m,notes,lining_material,instrumentation,discharge_location,insulated,gas_addition,gas_feed_control,no_ports,motor_power_kW,aux_units,cip,heating_cooling,heat_transfer_medium,heat_exchanger,T_max_C,P_max_atm,impeller_type2,impeller_type3,impeller_flow,impeller_model,impeller_flow2,impeller_model2,impeller_flow3,impeller_model3,probes,search_name
RX-001,Cambrex R-3156,Cambrex,R-3156,Charles City,Northland Stainless Inc.,,Batch,Manufacturing,1.3716,3.048,3.381248,0.762,"Hydrofoil, 35° (4)",0.75,,1.43,95.0,777.0,4154.0,4542.0,Stainless Steel,,4,2:1 Elliptical,2:1 Elliptical,3.0,0.3762248,0.254,0.762,0.75,1.512,0.254,0.762,0.75,2.6622248,0.254,6.4,1.53,31.75,,,,,,,,Sparged,Constant Pressure,,,,,,,,,,"Hydrofoil, 35° (4)","Hydrofoil, 35° (4)",Axial,A-315,Axial,A-315,Axial,A-315,,"Cambrex R-3156 (Hydrofoil, 35° (4))"
RX-002,Cambrex R-3156 Mod,Cambrex,R-3156 Mod,Charles City,Northland Stainless Inc.,,Batch,Manufacturing,1.3716,3.048,3.381248,0.762,"Hydrofoil, 35° (4)",0.75,,1.43,96.0,777.0,4154.0,4542.0,Stainless Steel,,4,2:1 Elliptical,2:1 Elliptical,3.0,0.3762248,0.254,0.762,0.75,1.1017,0.254,0.762,0.75,1.801749,0.254,6.4,1.53,31.75,,,,,,,,Sparged,Continuous,,,,,,,,,,"Hydrofoil, 35° (4)","Hydrofoil, 35° (4)",Axial,A-315,Axial,A-315,Axial,A-315,,"Cambrex R-3156 Mod (Hydrofoil, 35° (4))"
RX-003,Cambrex R-5103,Cambrex,R-5103,Charles City,Pfaulder,,Batch,Manufacturing,1.016,1.0064,1.261,0.46355,CBT Turbine (4),2.7,,,113.0,,757.082357,1082.62777,Carbon Steel,,Yes,2:1 Elliptical,2:1 Elliptical,1.0,0.0508,0.1629,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,Radial,,,,,,,"Cambrex R-5103 (CBT, radial, 15° (2))"
RX-004,Cambrex R-B01,Cambrex,R-B01,High Point,De Dietrich,,Batch,Manufacturing,1.218,1.467,1.775,0.7366,"Optifoil, 45° (3)",0.75,,12.0,125.0,232.7,1932.3,2165.0,Carbon Steel,yes,3,2:1 Elliptical,2:1 Elliptical,2.0,0.0635,0.16312448,0.6604,1.3,0.94110275,0.1380284,,,,,,,16.0,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,"PBT, 45° (3)",,Axial,,Axial,,,,,"Cambrex R-B01 (Hybrid hydrofoil, 45° (3))"
RX-005,Cambrex R-B02,Cambrex,R-B02,High Point,De Dietrich,,Batch,Manufacturing,1.35,1.466,1.8049376,0.6604,"PBT, 45° (4)",1.3,,,125.0,,,2000.0,Hastelloy,,4,2:1 Elliptical,2:1 Elliptical,2.0,0.1511808,0.0926592,0.6604,1.3,1.0533888,0.093998378,,,,,,,10.0,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,"PBT, 45° (4)",,Axial,,Axial,,,,,"Cambrex R-B02 (PBT, 45° (4))"
RX-006,Cambrex R-C01,Cambrex,R-C01,High Point,De Dietrich,,Batch,Manufacturing,1.218,0.832,1.14,0.7366,"Optifoil, 45° (3)",0.75,,12.0,125.0,247.4,1135,1322.0,Carbon Steel,,yes,2:1 Elliptical,2:1 Elliptical,1.0,0.0635,0.21082,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,"Hydrofoil, 45° (4)",,Axial,,,,,,,"Cambrex R-C01 (Hybrid hydrofoil, 45° (3))"
RX-007,Cambrex R-101,Cambrex,R-101,High Point,De Dietrich,,Batch,Manufacturing,0.8128,0.804,1.008,0.4064,"PBT, 45° (3)",,,10.0,139.0,15.0,429.0,550.0,Carbon steel,Yes,1,2:1 Elliptical,2:1 Elliptical,2.0,0.05588,0.03143,0.3556,,0.46482,0.07874,,,,,,,10.0,,,,Glass,,,,,,,,,,,,,,,"PBT, 45° (3)",,Axial,,Axial,,,,,"Cambrex R-101 (PBT, 45° (3))"
RX-008,Cambrex R-102,Cambrex,R-102,High Point,Tolan,,Batch,Manufacturing,0.8128,0.79214133,0.99534133,0.2286,"PBT, 45° (4)",,,11.5,230.0,11.0,440,550.0,Hastelloy,,,2:1 Elliptical,2:1 Elliptical,3.0,0.0635,0.06286179,0.371475,,0.165,0.03175,0.371475,,0.5969,0.03175,,,8.0,,,,,,,,,,,,,,,,,,,"Hydrofoil, 30° (4)","Hydrofoil, 30° (4)",Axial,P-4,Axial,HE-3,Axial,HE-3,,"Cambrex R-102 (PBT, 45° (4))"
RX-009,Cambrex R-301,Cambrex,R-301,High Point,De Dietrich,,Batch,Manufacturing,0.972,1.072,1.583,0.6,Chevron (3),,,,125.0,,,840.0,Carbon Steel,yes,3,45 deg conical,Torispherical,2.0,0.17145,0.352425,0.61,1.3,0.75565,0.0762,,,,,,,14.0,,,,,,,,,,,,,,,,,,,"PBT, 45° (3)",,Axial,,Axial,,,,,Cambrex R-301 (Chevron (3))
RX-010,Cambrex R-302,Cambrex,R-302,High Point,De Dietrich,,Batch,Manufacturing,0.972,1.072,1.583,0.6,Chevron (3),,,,125.0,,,840.0,Carbon Steel,yes,3,45 deg conical,Torispherical,2.0,0.17145,0.352425,0.61,1.3,0.75565,0.0762,,,,,,,14.0,,,,,,,,,,,,,,,,,,,"PBT, 45° (3)",,Axial,,Axial,,,,,Cambrex R-302 (Chevron (3))
RX-011,Cambrex R-801,Cambrex,R-801,High Point,De Dietrich,,Batch,Manufacturing,0.972,1.072,1.583,0.6,Chevron (3),,,,125.0,,,840.0,Carbon Steel,yes,3,45 deg conical,Torispherical,2.0,0.17145,0.352425,0.61,1.3,0.75565,0.0762,,,,,,,14.0,,,,,,,,,,,,,,,,,,,"PBT, 45° (3)",,Axial,,Axial,,,,,Cambrex R-801 (Chevron (3))
RX-012,Cambrex R-802,Cambrex,R-802,High Point,De Dietrich,,Batch,Manufacturing,0.972,1.072,1.259,0.508,"Optifoil, 45° (4)",0.75,,12.0,125.0,189.270589,757.082357,971.0,Carbon Steel,yes,3,Torispherical,Torispherical,2.0,0.09906,0.11684,0.61,1.3,0.860044,0.074676,,,,,6.4,1.53,14.0,,,,,,,,,,,,,,,,,,,"PBT, 45° (2)",,Axial,,Axial,,,,,"Cambrex R-802 (PBT, 45° (4))"
RX-013,TMA 1.6 L Polyclave,Takeda,,TMA,Buchi,1.6 L Polyclave,Batch,Lab,0.082,0.285,0.285,0.06013,Rushton Gassing,5,,50.0,1000.0,0.35,1.5,1.6,Glass,,,Spherical,Flat,1.0,0.043,0.01348,,,,,,,,,,,,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,,,Radial,,,,,,,Takeda 1.6 L Polyclave (Rushton gassing)
RX-014,Takeda TSHO Optimax-1001,Takeda,,TSHO,Mettler Toledo,Optimax 1001,Batch,Lab,0.101,0.16,0.22,0.045,"PBT, 45° (4)",,,30.0,1200.0,0.15,1.0,1.0,Glass,,,Dished,Flat,1.0,0.0099,0.012,,,,,,,,,,,,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,,,Axial,,,,,,,"Takeda TSHO Optimax-1001 (PBT, 45° (4))"
RX-015,TMA EasyMax-102 HP,Takeda,,TMA,Mettler Toledo,EasyMax 102 HP,Batch,Lab,0.0449,0.088,0.0833,0.029,Rushton gassing,,,50.0,1000.0,0.03,0.1,0.1,Stainless Steel,,,,Torispherical,1.0,0.0103,0.0088,,,,,,,,,,,,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,,,Radial,,,,,,,Takeda TMA EasyMax-102 HP (Rushton gassing)
RX-016,TSHO 102 EasyMax,Takeda,,TSHO,Mettler Toledo,EasyMax 102,Batch,Lab,0.05,0.07622,0.09384,0.03783,"PBT, 45° (4)",,,50.0,1000.0,0.03,0.1,0.1,Glass,,No,2:1 Elliptical,Flat,1.0,0.0086,0.009,,,,,,,,,,,,,,Either Tr probe or Tr probe + EasyViewer is inserted,,,,,Headspace,Constant Pressure,,,,,,,,,,,,Axial,,,,,,,"Takeda TSHO EasyMax-102 (PBT, 45° (4))"
RX-017,Nalas EasyMax-102,Nalas,,Centerbrook,Mettler Toledo,EasyMax 102,Batch,Lab,0.052,0.088,0.088,0.03,Rushton gassing,3.2,,50.0,1000.0,0.033,0.11,0.1,Glass,,,Torispherical,Torispherical,1.0,0.0101,0.0088,,,,,,,,,3.74,1.53,,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,,,Radial,,,,,,,Nalas EasyMax-102 (Rushton gassing)
RX-018,Nalas 1 L MP06,Nalas,,Centerbrook,Buchi,1 L MB06,Batch,Lab,,,0.22,0.046,"PBT, 45° (4)",,,,,,,1.0,Glass,,,,,1.0,0.0089,0.0098,,,,,,,,,,,,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,,,Axial,,,,,,,"Nalas 1 L MB06 (PBT, 45° (4))"
RX-019,Nalas 1 L MP10,Nalas,,Centerbrook,Buchi,1 L MP10,Batch,Lab,,,0.22,0.046,"PBT, 45° (4)",1.3,,,,,,1.0,Glass,,,,,1.0,0.018,0.01,,,,,,,,,,,,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,,,Axial,,,,,,,"Nalas 1 L MP10 (PBT, 45° (4))"
RX-020,Nalas 2 L Buchi,Nalas,,Centerbrook,Buchi,2 L,Batch,Lab,0.102,,0.2254,0.046,"PBT, 45° (4)",1.3,,0.0,1500.0,0.5,1.5,1.8,Glass,,,,,1.0,,0.002,,,,,,,,,,,,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,,,Axial,,,,,,,"Nalas 2 L Buchi (PBT, 45° (4))"
